variable_name,type,n_missing,n_non_missing,completeness_pct
Status,character,0,1563,100
Progress,character,0,1563,100
Duration (in seconds),character,0,1563,100
Finished,character,0,1563,100
DistributionChannel,character,0,1563,100
UserLanguage,character,0,1563,100
Q1.1,character,0,1563,100
respondent_id,character,0,1563,100
Q_RecaptchaScore,character,13,1550,99.2
Q2.1,character,200,1363,87.2
Q2.2,character,208,1355,86.7
Q13.1,character,816,747,47.8
ORGANIZATION_TYPE,character,881,682,43.6
Q12.4,character,1043,520,33.3
Q12.5,character,1052,511,32.7
Q12.13_1,character,1052,511,32.7
Q12.2_1,character,1053,510,32.6
Q12.2_4,character,1054,509,32.6
Q12.10,character,1053,510,32.6
Q12.2_2,character,1055,508,32.5
Q12.2_6,character,1055,508,32.5
Q12.2_7,character,1055,508,32.5
Q12.13_3,character,1055,508,32.5
Q12.13_6,character,1055,508,32.5
Q12.2_5,character,1056,507,32.4
Q12.9,character,1056,507,32.4
Q12.13_2,character,1056,507,32.4
Q12.13_4,character,1056,507,32.4
Q12.13_5,character,1056,507,32.4
Q12.13_7,character,1057,506,32.4
Q12.13_8,character,1058,505,32.3
Q12.13_9,character,1058,505,32.3
Q12.13_10,character,1058,505,32.3
Q12.2_3,character,1060,503,32.2
Q12.1_10,character,1078,485,31
Q12.1_11,character,1078,485,31
Q12.1_12,character,1078,485,31
Q12.1_13,character,1078,485,31
Q12.1_14,character,1078,485,31
Q12.1_15,character,1078,485,31
Q12.1_16,character,1078,485,31
Q12.3_8,character,1079,484,31
Q12.3_9,character,1079,484,31
Q12.3_10,character,1079,484,31
Q12.3_11,character,1079,484,31
Q12.3_12,character,1079,484,31
Q12.3_13,character,1079,484,31
Q12.3_14,character,1079,484,31
Q12.7_4,character,1085,478,30.6
Q12.7_7,character,1091,472,30.2
Q12.8_1,character,1092,471,30.1
Survey_Type,character,1103,460,29.4
Q12.7_6,character,1107,456,29.2
Q11.1,character,1113,450,28.8
Q12.7_8,character,1134,429,27.4
Q12.7_5,character,1138,425,27.2
Q12.7_9,character,1148,415,26.6
Q12.7_10,character,1149,414,26.5
Q12.12 - Actionability,character,1165,398,25.5
Q12.12 - Effort,character,1165,398,25.5
Q12.12 - Effort Numeric,character,1165,398,25.5
Q12.12 - Emotion Intensity,character,1165,398,25.5
Q12.12 - Emotion,character,1165,398,25.5
Q12.12 - Sentiment Polarity,character,1165,398,25.5
Q12.12 - Sentiment Score,character,1165,398,25.5
Q12.12 - Sentiment,character,1165,398,25.5
Q12.12 - Topics,character,1165,398,25.5
Q12.12,character,1166,397,25.4
Q12.11,character,1195,368,23.5
Q12.11 - Actionability,character,1195,368,23.5
Q12.11 - Effort,character,1195,368,23.5
Q12.11 - Effort Numeric,character,1195,368,23.5
Q12.11 - Emotion Intensity,character,1195,368,23.5
Q12.11 - Emotion,character,1195,368,23.5
Q12.11 - Sentiment Polarity,character,1195,368,23.5
Q12.11 - Sentiment Score,character,1195,368,23.5
Q12.11 - Sentiment,character,1195,368,23.5
Q12.11 - Topics,character,1195,368,23.5
Q2.1_12_TEXT,character,1230,333,21.3
Q2.1_12_TEXT - Actionability,character,1230,333,21.3
Q2.1_12_TEXT - Effort,character,1230,333,21.3
Q2.1_12_TEXT - Effort Numeric,character,1230,333,21.3
Q2.1_12_TEXT - Emotion Intensity,character,1230,333,21.3
Q2.1_12_TEXT - Emotion,character,1230,333,21.3
Q2.1_12_TEXT - Sentiment Polarity,character,1230,333,21.3
Q2.1_12_TEXT - Sentiment Score,character,1230,333,21.3
Q2.1_12_TEXT - Sentiment,character,1230,333,21.3
Q2.1_12_TEXT - Topics,character,1230,333,21.3
hq_country,character,1248,315,20.2
Q5.2_2,character,1363,200,12.8
Q5.2_5,character,1363,200,12.8
Q5.2_6,character,1363,200,12.8
Q5.4,character,1363,200,12.8
Q5.10,character,1363,200,12.8
Q5.11,character,1363,200,12.8
Q5.2_1,character,1364,199,12.7
Q5.2_7,character,1364,199,12.7
Q5.2_8,character,1365,198,12.7
Q5.2_3,character,1367,196,12.5
Q5.2_4,character,1368,195,12.5
Q5.6,character,1368,195,12.5
Q5.12_2,character,1370,193,12.3
Q5.1,character,1373,190,12.2
Q5.12_1,character,1372,191,12.2
Q5.12_4,character,1373,190,12.2
Q5.12_5,character,1372,191,12.2
Q5.12_3,character,1374,189,12.1
Q5.9_4,character,1378,185,11.8
Q5.3_4,character,1380,183,11.7
Q5.8_6,character,1380,183,11.7
Q5.8_7,character,1380,183,11.7
Q5.8_8,character,1380,183,11.7
Q5.8_9,character,1380,183,11.7
Q5.8_10,character,1380,183,11.7
Q5.8_11,character,1380,183,11.7
Q5.8_12,character,1380,183,11.7
Q5.8_13,character,1380,183,11.7
Q5.8_14,character,1380,183,11.7
Q5.8_15,character,1380,183,11.7
Q5.7,character,1402,161,10.3
Q5.7 - Actionability,character,1402,161,10.3
Q5.7 - Effort,character,1402,161,10.3
Q5.7 - Effort Numeric,character,1402,161,10.3
Q5.7 - Emotion Intensity,character,1402,161,10.3
Q5.7 - Emotion,character,1402,161,10.3
Q5.7 - Sentiment Polarity,character,1402,161,10.3
Q5.7 - Sentiment Score,character,1402,161,10.3
Q5.7 - Sentiment,character,1402,161,10.3
Q5.7 - Topics,character,1402,161,10.3
Q5.5,character,1407,156,10
Q5.5 - Actionability,character,1407,156,10
Q5.5 - Effort,character,1407,156,10
Q5.5 - Effort Numeric,character,1407,156,10
Q5.5 - Emotion Intensity,character,1407,156,10
Q5.5 - Emotion,character,1407,156,10
Q5.5 - Sentiment Polarity,character,1407,156,10
Q5.5 - Sentiment Score,character,1407,156,10
Q5.5 - Sentiment,character,1407,156,10
Q5.5 - Topics,character,1407,156,10
Q3.7,character,1452,111,7.1
Q3.12,character,1452,111,7.1
Q3.2,character,1454,109,7
Q3.3,character,1453,110,7
Q3.6_1,character,1454,109,7
Q3.6_2,character,1453,110,7
Q3.6_3,character,1453,110,7
Q3.6_4,character,1453,110,7
Q3.6_5,character,1453,110,7
Q3.10,character,1454,109,7
Q3.11,character,1454,109,7
Q3.8_8,character,1456,107,6.8
Q3.8_9,character,1456,107,6.8
Q3.8_10,character,1456,107,6.8
Q3.8_11,character,1456,107,6.8
Q3.8_12,character,1456,107,6.8
Q3.8_13,character,1456,107,6.8
Q3.8_14,character,1456,107,6.8
Q3.9_4,character,1457,106,6.8
Q3.9_5,character,1457,106,6.8
Q3.9_6,character,1457,106,6.8
Q3.9_7,character,1457,106,6.8
Q3.9_8,character,1457,106,6.8
Q3.9_11,character,1457,106,6.8
Q3.9_12,character,1457,106,6.8
Q3.9_15,character,1457,106,6.8
Q3.9_16,character,1457,106,6.8
Q3.5,character,1470,93,6
Q3.1,character,1478,85,5.4
Q3.1 - Actionability,character,1478,85,5.4
Q3.1 - Effort,character,1478,85,5.4
Q3.1 - Effort Numeric,character,1478,85,5.4
Q3.1 - Emotion Intensity,character,1478,85,5.4
Q3.1 - Emotion,character,1478,85,5.4
Q3.1 - Sentiment Polarity,character,1478,85,5.4
Q3.1 - Sentiment Score,character,1478,85,5.4
Q3.1 - Sentiment,character,1478,85,5.4
Q3.1 - Topics,character,1478,85,5.4
Q13.3,character,1490,73,4.7
Q13.3 - Actionability,character,1490,73,4.7
Q13.3 - Effort,character,1490,73,4.7
Q13.3 - Effort Numeric,character,1490,73,4.7
Q13.3 - Emotion Intensity,character,1490,73,4.7
Q13.3 - Emotion,character,1490,73,4.7
Q13.3 - Sentiment Polarity,character,1490,73,4.7
Q13.3 - Sentiment Score,character,1490,73,4.7
Q13.3 - Sentiment,character,1490,73,4.7
Q13.3 - Topics,character,1490,73,4.7
Q12.1_16_TEXT,character,1498,65,4.2
Q12.1_16_TEXT - Actionability,character,1498,65,4.2
Q12.1_16_TEXT - Effort,character,1498,65,4.2
Q12.1_16_TEXT - Effort Numeric,character,1498,65,4.2
Q12.1_16_TEXT - Emotion Intensity,character,1498,65,4.2
Q12.1_16_TEXT - Emotion,character,1498,65,4.2
Q12.1_16_TEXT - Sentiment Polarity,character,1498,65,4.2
Q12.1_16_TEXT - Sentiment Score,character,1498,65,4.2
Q12.1_16_TEXT - Sentiment,character,1498,65,4.2
Q12.1_16_TEXT - Topics,character,1498,65,4.2
organization_id,character,1503,60,3.8
INVESTOR,character,1513,50,3.2
firm_id,character,1513,50,3.2
Q8.9,character,1523,40,2.6
Q12.5_11_TEXT,character,1523,40,2.6
Q12.5_11_TEXT - Actionability,character,1523,40,2.6
Q12.5_11_TEXT - Effort,character,1523,40,2.6
Q12.5_11_TEXT - Effort Numeric,character,1523,40,2.6
Q12.5_11_TEXT - Emotion Intensity,character,1523,40,2.6
Q12.5_11_TEXT - Emotion,character,1523,40,2.6
Q12.5_11_TEXT - Sentiment Polarity,character,1523,40,2.6
Q12.5_11_TEXT - Sentiment Score,character,1523,40,2.6
Q12.5_11_TEXT - Sentiment,character,1523,40,2.6
Q12.5_11_TEXT - Topics,character,1523,40,2.6
Q8.4,character,1524,39,2.5
Q8.7,character,1524,39,2.5
Q8.11,character,1524,39,2.5
Q8.2,character,1525,38,2.4
Q8.5,character,1525,38,2.4
Q12.9_11_TEXT,character,1526,37,2.4
Q12.9_11_TEXT - Actionability,character,1526,37,2.4
Q12.9_11_TEXT - Effort,character,1526,37,2.4
Q12.9_11_TEXT - Effort Numeric,character,1526,37,2.4
Q12.9_11_TEXT - Emotion Intensity,character,1526,37,2.4
Q12.9_11_TEXT - Emotion,character,1526,37,2.4
Q12.9_11_TEXT - Sentiment Polarity,character,1526,37,2.4
Q12.9_11_TEXT - Sentiment Score,character,1526,37,2.4
Q12.9_11_TEXT - Sentiment,character,1526,37,2.4
Q12.9_11_TEXT - Topics,character,1526,37,2.4
Q8.10,character,1528,35,2.2
Q12.10_10_TEXT,character,1528,35,2.2
Q12.10_10_TEXT - Actionability,character,1528,35,2.2
Q12.10_10_TEXT - Effort,character,1528,35,2.2
Q12.10_10_TEXT - Effort Numeric,character,1528,35,2.2
Q12.10_10_TEXT - Emotion Intensity,character,1528,35,2.2
Q12.10_10_TEXT - Emotion,character,1528,35,2.2
Q12.10_10_TEXT - Sentiment Polarity,character,1528,35,2.2
Q12.10_10_TEXT - Sentiment Score,character,1528,35,2.2
Q12.10_10_TEXT - Sentiment,character,1528,35,2.2
Q12.10_10_TEXT - Topics,character,1528,35,2.2
Q2.2_10_TEXT,character,1531,32,2
Q8.3_1,character,1532,31,2
Q8.6_1,character,1531,32,2
Q8.8_4,character,1531,32,2
Q8.8_5,character,1531,32,2
Q8.8_6,character,1531,32,2
Q8.8_7,character,1531,32,2
Q8.8_9,character,1531,32,2
Q8.8_10,character,1531,32,2
Q8.8_12,character,1531,32,2
Q2.2_10_TEXT - Actionability,character,1531,32,2
Q2.2_10_TEXT - Effort,character,1531,32,2
Q2.2_10_TEXT - Effort Numeric,character,1531,32,2
Q2.2_10_TEXT - Emotion Intensity,character,1531,32,2
Q2.2_10_TEXT - Emotion,character,1531,32,2
Q2.2_10_TEXT - Sentiment Polarity,character,1531,32,2
Q2.2_10_TEXT - Sentiment Score,character,1531,32,2
Q2.2_10_TEXT - Sentiment,character,1531,32,2
Q2.2_10_TEXT - Topics,character,1531,32,2
Q10.5,character,1535,28,1.8
Q10.7,character,1535,28,1.8
Q10.8,character,1535,28,1.8
Q10.10,character,1535,28,1.8
Q5.11_14_TEXT,character,1537,26,1.7
Q8.1,character,1537,26,1.7
Q9.7,character,1536,27,1.7
Q9.11,character,1537,26,1.7
Q10.3,character,1537,26,1.7
Q10.4,character,1536,27,1.7
Q10.11,character,1536,27,1.7
Q8.1 - Actionability,character,1537,26,1.7
Q8.1 - Effort,character,1537,26,1.7
Q8.1 - Effort Numeric,character,1537,26,1.7
Q8.1 - Emotion Intensity,character,1537,26,1.7
Q8.1 - Emotion,character,1537,26,1.7
Q8.1 - Sentiment Polarity,character,1537,26,1.7
Q8.1 - Sentiment Score,character,1537,26,1.7
Q8.1 - Sentiment,character,1537,26,1.7
Q8.1 - Topics,character,1537,26,1.7
Q5.11_14_TEXT - Actionability,character,1537,26,1.7
Q5.11_14_TEXT - Effort,character,1537,26,1.7
Q5.11_14_TEXT - Effort Numeric,character,1537,26,1.7
Q5.11_14_TEXT - Emotion Intensity,character,1537,26,1.7
Q5.11_14_TEXT - Emotion,character,1537,26,1.7
Q5.11_14_TEXT - Sentiment Polarity,character,1537,26,1.7
Q5.11_14_TEXT - Sentiment Score,character,1537,26,1.7
Q5.11_14_TEXT - Sentiment,character,1537,26,1.7
Q5.11_14_TEXT - Topics,character,1537,26,1.7
Q4.5_7,character,1538,25,1.6
Q4.5_8,character,1538,25,1.6
Q4.5_9,character,1538,25,1.6
Q4.5_10,character,1538,25,1.6
Q4.5_11,character,1538,25,1.6
Q4.5_12,character,1538,25,1.6
Q4.5_13,character,1538,25,1.6
Q4.5_14,character,1538,25,1.6
Q5.2_9,character,1538,25,1.6
Q9.5_9,character,1538,25,1.6
Q9.5_10,character,1538,25,1.6
Q9.5_11,character,1538,25,1.6
Q9.5_12,character,1538,25,1.6
Q9.5_13,character,1538,25,1.6
Q9.5_14,character,1538,25,1.6
Q9.5_15,character,1538,25,1.6
Q9.5_16,character,1538,25,1.6
Q9.6,character,1538,25,1.6
Q9.8,character,1538,25,1.6
Q13.5,character,1538,25,1.6
Q13.5 - Actionability,character,1538,25,1.6
Q13.5 - Effort,character,1538,25,1.6
Q13.5 - Effort Numeric,character,1538,25,1.6
Q13.5 - Emotion Intensity,character,1538,25,1.6
Q13.5 - Emotion,character,1538,25,1.6
Q13.5 - Sentiment Polarity,character,1538,25,1.6
Q13.5 - Sentiment Score,character,1538,25,1.6
Q13.5 - Sentiment,character,1538,25,1.6
Q13.5 - Topics,character,1538,25,1.6
Q3.5_13_TEXT,character,1539,24,1.5
Q4.4,character,1539,24,1.5
Q4.6_7,character,1539,24,1.5
Q4.6_8,character,1539,24,1.5
Q4.6_9,character,1539,24,1.5
Q4.6_10,character,1539,24,1.5
Q4.6_11,character,1539,24,1.5
Q4.6_12,character,1539,24,1.5
Q4.6_13,character,1539,24,1.5
Q4.6_14,character,1539,24,1.5
Q4.6_15,character,1539,24,1.5
Q4.7,character,1540,23,1.5
Q4.8,character,1539,24,1.5
Q4.9,character,1539,24,1.5
Q4.10,character,1539,24,1.5
Q9.1,character,1540,23,1.5
Q9.2,character,1540,23,1.5
Q9.3_1,character,1540,23,1.5
Q9.4,character,1540,23,1.5
Q9.9_1,character,1539,24,1.5
Q10.1_4,character,1539,24,1.5
Q10.6_8,character,1540,23,1.5
Q10.6_9,character,1540,23,1.5
Q10.6_10,character,1540,23,1.5
Q10.6_11,character,1540,23,1.5
Q10.6_12,character,1540,23,1.5
Q10.6_14,character,1540,23,1.5
Q10.6_16,character,1540,23,1.5
Q10.6_17,character,1540,23,1.5
Q3.5_13_TEXT - Actionability,character,1539,24,1.5
Q3.5_13_TEXT - Effort,character,1539,24,1.5
Q3.5_13_TEXT - Effort Numeric,character,1539,24,1.5
Q3.5_13_TEXT - Emotion Intensity,character,1539,24,1.5
Q3.5_13_TEXT - Emotion,character,1539,24,1.5
Q3.5_13_TEXT - Sentiment Polarity,character,1539,24,1.5
Q3.5_13_TEXT - Sentiment Score,character,1539,24,1.5
Q3.5_13_TEXT - Sentiment,character,1539,24,1.5
Q3.5_13_TEXT - Topics,character,1539,24,1.5
Q4.2_6,character,1541,22,1.4
Q4.1_1,character,1543,20,1.3
Q5.6_21_TEXT,character,1542,21,1.3
Q7.1,character,1543,20,1.3
Q7.3,character,1543,20,1.3
Q7.4_4,character,1543,20,1.3
Q7.7,character,1543,20,1.3
Q5.6_21_TEXT - Actionability,character,1542,21,1.3
Q5.6_21_TEXT - Effort,character,1542,21,1.3
Q5.6_21_TEXT - Effort Numeric,character,1542,21,1.3
Q5.6_21_TEXT - Emotion Intensity,character,1542,21,1.3
Q5.6_21_TEXT - Emotion,character,1542,21,1.3
Q5.6_21_TEXT - Sentiment Polarity,character,1542,21,1.3
Q5.6_21_TEXT - Sentiment Score,character,1542,21,1.3
Q5.6_21_TEXT - Sentiment,character,1542,21,1.3
Q5.6_21_TEXT - Topics,character,1542,21,1.3
Q7.6,character,1544,19,1.2
Q7.8_4,character,1545,18,1.2
Q7.8_5,character,1545,18,1.2
Q7.8_6,character,1545,18,1.2
Q7.8_7,character,1545,18,1.2
Q7.8_8,character,1545,18,1.2
Q7.8_9,character,1545,18,1.2
Q7.8_10,character,1545,18,1.2
Q7.8_12,character,1545,18,1.2
Q7.8_13,character,1545,18,1.2
Q7.9_4,character,1544,19,1.2
Q7.9_5,character,1544,19,1.2
Q7.9_6,character,1544,19,1.2
Q7.9_7,character,1544,19,1.2
Q7.9_8,character,1544,19,1.2
Q7.9_9,character,1544,19,1.2
Q7.9_10,character,1544,19,1.2
Q7.10,character,1544,19,1.2
Q7.11,character,1545,18,1.2
Q10.9,character,1544,19,1.2
Q13.7,character,1545,18,1.2
Q10.9 - Actionability,character,1544,19,1.2
Q10.9 - Effort,character,1544,19,1.2
Q10.9 - Effort Numeric,character,1544,19,1.2
Q10.9 - Emotion Intensity,character,1544,19,1.2
Q10.9 - Emotion,character,1544,19,1.2
Q10.9 - Sentiment Polarity,character,1544,19,1.2
Q10.9 - Sentiment Score,character,1544,19,1.2
Q10.9 - Sentiment,character,1544,19,1.2
Q10.9 - Topics,character,1544,19,1.2
Q13.7 - Actionability,character,1545,18,1.2
Q13.7 - Effort,character,1545,18,1.2
Q13.7 - Effort Numeric,character,1545,18,1.2
Q13.7 - Emotion Intensity,character,1545,18,1.2
Q13.7 - Emotion,character,1545,18,1.2
Q13.7 - Sentiment Polarity,character,1545,18,1.2
Q13.7 - Sentiment Score,character,1545,18,1.2
Q13.7 - Sentiment,character,1545,18,1.2
Q13.7 - Topics,character,1545,18,1.2
Q4.11,character,1546,17,1.1
Q4.11 - Actionability,character,1546,17,1.1
Q4.11 - Effort,character,1546,17,1.1
Q4.11 - Effort Numeric,character,1546,17,1.1
Q4.11 - Emotion Intensity,character,1546,17,1.1
Q4.11 - Emotion,character,1546,17,1.1
Q4.11 - Sentiment Polarity,character,1546,17,1.1
Q4.11 - Sentiment Score,character,1546,17,1.1
Q4.11 - Sentiment,character,1546,17,1.1
Q4.11 - Topics,character,1546,17,1.1
Q3.10_12_TEXT,character,1547,16,1
Q9.10,character,1547,16,1
Q10.2_4,character,1547,16,1
Q3.10_12_TEXT - Actionability,character,1547,16,1
Q3.10_12_TEXT - Effort,character,1547,16,1
Q3.10_12_TEXT - Effort Numeric,character,1547,16,1
Q3.10_12_TEXT - Emotion Intensity,character,1547,16,1
Q3.10_12_TEXT - Emotion,character,1547,16,1
Q3.10_12_TEXT - Sentiment Polarity,character,1547,16,1
Q3.10_12_TEXT - Sentiment Score,character,1547,16,1
Q3.10_12_TEXT - Sentiment,character,1547,16,1
Q3.10_12_TEXT - Topics,character,1547,16,1
Q8.7_15_TEXT - Actionability,character,1548,15,1
Q8.7_15_TEXT - Effort,character,1548,15,1
Q8.7_15_TEXT - Effort Numeric,character,1548,15,1
Q8.7_15_TEXT - Emotion Intensity,character,1548,15,1
Q8.7_15_TEXT - Emotion,character,1548,15,1
Q8.7_15_TEXT - Sentiment Polarity,character,1548,15,1
Q8.7_15_TEXT - Sentiment Score,character,1548,15,1
Q8.7_15_TEXT - Sentiment,character,1548,15,1
Q8.7_15_TEXT - Topics,character,1548,15,1
Q9.10 - Actionability,character,1547,16,1
Q9.10 - Effort,character,1547,16,1
Q9.10 - Effort Numeric,character,1547,16,1
Q9.10 - Emotion Intensity,character,1547,16,1
Q9.10 - Emotion,character,1547,16,1
Q9.10 - Sentiment Polarity,character,1547,16,1
Q9.10 - Sentiment Score,character,1547,16,1
Q9.10 - Sentiment,character,1547,16,1
Q9.10 - Topics,character,1547,16,1
Q5.2_9_TEXT,character,1549,14,0.9
Q8.7_15_TEXT,character,1549,14,0.9
Q5.2_18_TEXT - Actionability,character,1549,14,0.9
Q5.2_18_TEXT - Effort,character,1549,14,0.9
Q5.2_18_TEXT - Effort Numeric,character,1549,14,0.9
Q5.2_18_TEXT - Emotion Intensity,character,1549,14,0.9
Q5.2_18_TEXT - Emotion,character,1549,14,0.9
Q5.2_18_TEXT - Sentiment Polarity,character,1549,14,0.9
Q5.2_18_TEXT - Sentiment Score,character,1549,14,0.9
Q5.2_18_TEXT - Sentiment,character,1549,14,0.9
Q5.2_18_TEXT - Topics,character,1549,14,0.9
Q4.3,character,1551,12,0.8
Q5.10_20_TEXT,character,1550,13,0.8
Q5.12_6,character,1550,13,0.8
Q5.12_6_TEXT,character,1550,13,0.8
Q6.1,character,1551,12,0.8
Q6.2,character,1551,12,0.8
Q6.5,character,1551,12,0.8
Q6.7,character,1551,12,0.8
Q6.8,character,1550,13,0.8
Q6.9,character,1551,12,0.8
Q7.2,character,1551,12,0.8
Q8.4_18_TEXT,character,1550,13,0.8
Q7.2 - Actionability,character,1551,12,0.8
Q7.2 - Effort,character,1551,12,0.8
Q7.2 - Effort Numeric,character,1551,12,0.8
Q7.2 - Emotion Intensity,character,1551,12,0.8
Q7.2 - Emotion,character,1551,12,0.8
Q7.2 - Sentiment Polarity,character,1551,12,0.8
Q7.2 - Sentiment Score,character,1551,12,0.8
Q7.2 - Sentiment,character,1551,12,0.8
Q7.2 - Topics,character,1551,12,0.8
Q8.4_18_TEXT - Actionability,character,1550,13,0.8
Q8.4_18_TEXT - Effort,character,1550,13,0.8
Q8.4_18_TEXT - Effort Numeric,character,1550,13,0.8
Q8.4_18_TEXT - Emotion Intensity,character,1550,13,0.8
Q8.4_18_TEXT - Emotion,character,1550,13,0.8
Q8.4_18_TEXT - Sentiment Polarity,character,1550,13,0.8
Q8.4_18_TEXT - Sentiment Score,character,1550,13,0.8
Q8.4_18_TEXT - Sentiment,character,1550,13,0.8
Q8.4_18_TEXT - Topics,character,1550,13,0.8
Q4.3 - Actionability,character,1551,12,0.8
Q4.3 - Effort,character,1551,12,0.8
Q4.3 - Effort Numeric,character,1551,12,0.8
Q4.3 - Emotion Intensity,character,1551,12,0.8
Q4.3 - Emotion,character,1551,12,0.8
Q4.3 - Sentiment Polarity,character,1551,12,0.8
Q4.3 - Sentiment Score,character,1551,12,0.8
Q4.3 - Sentiment,character,1551,12,0.8
Q4.3 - Topics,character,1551,12,0.8
Q5.12_22_TEXT - Actionability,character,1550,13,0.8
Q5.12_22_TEXT - Effort,character,1550,13,0.8
Q5.12_22_TEXT - Effort Numeric,character,1550,13,0.8
Q5.12_22_TEXT - Emotion Intensity,character,1550,13,0.8
Q5.12_22_TEXT - Emotion,character,1550,13,0.8
Q5.12_22_TEXT - Sentiment Polarity,character,1550,13,0.8
Q5.12_22_TEXT - Sentiment Score,character,1550,13,0.8
Q5.12_22_TEXT - Sentiment,character,1550,13,0.8
Q5.12_22_TEXT - Topics,character,1550,13,0.8
Q5.10_20_TEXT - Actionability,character,1550,13,0.8
Q5.10_20_TEXT - Effort,character,1550,13,0.8
Q5.10_20_TEXT - Effort Numeric,character,1550,13,0.8
Q5.10_20_TEXT - Emotion Intensity,character,1550,13,0.8
Q5.10_20_TEXT - Emotion,character,1550,13,0.8
Q5.10_20_TEXT - Sentiment Polarity,character,1550,13,0.8
Q5.10_20_TEXT - Sentiment Score,character,1550,13,0.8
Q5.10_20_TEXT - Sentiment,character,1550,13,0.8
Q5.10_20_TEXT - Topics,character,1550,13,0.8
Q3.9_16_TEXT,character,1552,11,0.7
Q5.1_15_TEXT,character,1552,11,0.7
Q6.6_9,character,1552,11,0.7
Q6.6_10,character,1552,11,0.7
Q6.6_11,character,1552,11,0.7
Q6.6_12,character,1552,11,0.7
Q6.6_13,character,1552,11,0.7
Q6.6_14,character,1552,11,0.7
Q6.6_15,character,1552,11,0.7
Q6.6_16,character,1552,11,0.7
Q6.6_18,character,1552,11,0.7
